frequency_hz,vpp_in,vpp_out,gain_db,phase_deg
10.0,1.08,0.94,-1.205918037745022,-90.0
12.589254117941675,1.067,0.933,-1.1656555135593978,-4.5
15.848931924611133,1.093,0.947,-1.2454036589285873,-5.714286
19.952623149688797,1.087,0.94,-1.2620338097319175,-2.88
25.118864315095795,1.087,0.934,-1.3176533571240232,-3.636364
31.622776601683793,1.08,0.927,-1.326880426849053,-4.5
39.810717055349734,1.08,0.94,-1.205918037745022,-2.88
50.11872336272725,1.087,0.927,-1.3829961988359483,-3.6
63.09573444801933,1.086,0.94,-1.2540394330625906,-4.556962
79.43282347242814,1.1,0.954,-1.2368862090825992,-2.88
100.0,1.114,0.973,-1.175447011387165,-3.6
125.89254117941675,1.12,0.973,-1.2221036480365948,-4.556962
158.48931924611142,1.114,0.973,-1.175447011387165,-5.714285
199.52623149688787,1.113,0.954,-1.3389357926122645,-5.76
251.18864315095823,1.107,0.947,-1.3559528375089882,-7.272727
316.22776601683796,1.093,0.947,-1.2454036589285873,-9.113924
398.1071705534973,1.093,0.947,-1.2454036589285873,-5.76
501.18723362727246,1.107,0.947,-1.3559528375089882,-10.8
630.957344480193,1.1,0.947,-1.3008541230990331,-13.5
794.3282347242822,1.093,0.954,-1.1814357449121538,-14.17323
1000.0,1.093,0.947,-1.2454036589285873,-7.199999
1258.9254117941675,1.093,0.947,-1.2454036589285873,-9.0
1584.893192461114,1.093,0.947,-1.2454036589285873,-11.42857
1995.262314968881,1.08,0.947,-1.1414755296735264,-23.04
2511.886431509582,1.08,0.94,-1.205918037745022,-28.8
3162.2776601683795,1.06,0.94,-1.0435602333014324,-31.89874
3333.333333333332,1.06,0.933,-1.1084844303654062,-43.2
3605.444667842552,1.06,0.933,-1.1084844303654062,-46.61871
3899.769375862288,1.053,0.927,-1.1069727408197878,-50.625
3981.0717055349733,1.053,0.927,-1.1069727408197878,-51.42857
4218.120810605511,1.053,0.92,-1.1728108767986245,-51.42857
4562.460355474004,1.053,0.92,-1.1728108767986245,-55.63636
4934.909508266037,1.06,0.92,-1.2303607583842993,-63.52942
5011.872336272725,1.06,0.913,-1.2967017546094262,-61.2
5337.762951858989,1.06,0.913,-1.2967017546094262,-68.93617
5773.502691896257,1.067,0.893,-1.5462592107184692,-74.48277
6244.813348581596,1.08,0.893,-1.6514459319680657,-81.00001
6309.573444801937,1.08,0.893,-1.6514459319680657,-81.00001
6754.598696794655,1.087,0.886,-1.7759164439848754,-94.86486
7305.9995564323635,1.093,0.873,-1.9521183648826614,-102.4818
7902.4131431997375,1.087,0.867,-1.964208932201685,-110.5512
7943.282347242822,1.087,0.86,-2.034621856854536,-115.2
8547.513999071522,1.073,0.84,-2.126408718081388,-126.1538
9245.2766313786,1.04,0.813,-2.138855874094245,-140.0
10000.0,1.02,0.754,-2.6245765178428697,-162.0
10816.33400352766,1.093,0.658,-4.407885366714945,160.4348
11699.30812758687,1.336,0.516,-8.263135130246312,133.9535
12589.254117941662,1.588,0.342,-13.33648784069885,113.924
12654.362431816537,1.606,0.33,-13.744632021295493,109.3671
13687.381066422018,1.714,0.1846,-19.355582417945723,103.5616
14804.728524798116,1.714,0.088,-25.790562908740213,95.29412
15848.93192461114,1.66,0.0402,-32.3176406991117,102.8571
16013.288855576975,1.642,0.0353,-33.351968947911985,97.14286
17320.508075688776,1.552,0.01147,-42.62656598041804,129.1035
18734.440045744795,1.462,0.00943,-43.80871359769027,-166.5672
19952.62314968883,1.372,0.01092,-41.98262946004029,-149.76
20263.79609038397,1.363,0.011,-41.86206341352897,-145.1613
21917.9986692971,1.264,0.01014,-41.91418237898098,-142.1053
23707.239429599224,1.174,0.00772,-43.64101593151719,-135.8491
25118.864315095823,1.111,0.00564,-45.88869909915051,-136.8
25642.541997214576,1.083,0.00492,-46.8532670771592,-137.3196
27735.829894135808,1.001,0.002379,-52.48079270884105,-116.0
30000.00000000001,0.941,0.001399,-56.555438178708584,-30.73171
31622.776601683792,0.898,0.002431,-51.34982755647937,-13.5
39810.71705534969,0.712,0.00622,-41.173792178920756,14.28571
50118.72336272725,0.564,0.00757,-37.44366448966539,10.8
63095.73444801943,0.444,0.00741,-35.551295242705834,13.67089
79432.82347242821,0.352,0.00663,-34.50058270146715,8.503938
100000.0,0.278,0.00575,-33.68753902456892,10.8
